input_id	dealiased_id	standard_id	short_id
andradesvaltuena2017StoneAgePlague	andradesvaltuena2017StoneAgePlague	andradesvaltuena2017StoneAgePlague	Vo6ReJPm
rascovan2019EmergenceSpreadBasal	rascovan2019EmergenceSpreadBasal	rascovan2019EmergenceSpreadBasal	AQa9Tn4j
yue2017TradeRoutesPlague	yue2017TradeRoutesPlague	yue2017TradeRoutesPlague	1093vihdz
perry1997YersiniaPestisEtiologic	perry1997YersiniaPestisEtiologic	perry1997YersiniaPestisEtiologic	uM6Rh5Fu
who2017Plague	who2017Plague	who2017Plague	h4WAqbKy
benedictow2004BlackDeath13461353	benedictow2004BlackDeath13461353	benedictow2004BlackDeath13461353	13ET92iS0
bertheratPlagueWorld2019	bertheratPlagueWorld2019	bertheratPlagueWorld2019	S5fFaZrD
gage2006RecentTrendsPlague	gage2006RecentTrendsPlague	gage2006RecentTrendsPlague	kQFNGkNf
rasmussen2015EarlyDivergentStrains	rasmussen2015EarlyDivergentStrains	rasmussen2015EarlyDivergentStrains	ZvyYZ3sx
achtman1999YersiniaPestisCause	achtman1999YersiniaPestisCause	achtman1999YersiniaPestisCause	TV8iDhk7
laukkanen-ninios2011PopulationStructureYersinia	laukkanen-ninios2011PopulationStructureYersinia	laukkanen-ninios2011PopulationStructureYersinia	RrDa6yZx
seecharran2017PhylogeographicSeparationFormation	seecharran2017PhylogeographicSeparationFormation	seecharran2017PhylogeographicSeparationFormation	17ygZQMtK
qi2016TaxonomyYersiniaPestis	qi2016TaxonomyYersiniaPestis	qi2016TaxonomyYersiniaPestis	HqSIHWsh
kutyrev2018PhylogenyClassificationYersinia	kutyrev2018PhylogenyClassificationYersinia	kutyrev2018PhylogenyClassificationYersinia	S7uUqUQG
zhou2020EnteroBaseUserGuide	zhou2020EnteroBaseUserGuide	zhou2020EnteroBaseUserGuide	E2sCnrTc
volz2020IdentificationHiddenPopulation	volz2020IdentificationHiddenPopulation	volz2020IdentificationHiddenPopulation	14eJbOlxZ
cui2013HistoricalVariationsMutation	cui2013HistoricalVariationsMutation	cui2013HistoricalVariationsMutation	ONhNS9aO
wagner2014YersiniaPestisPlague	wagner2014YersiniaPestisPlague	wagner2014YersiniaPestisPlague	ACt53Sow
spyrou2019PhylogeographySecondPlague	spyrou2019PhylogeographySecondPlague	spyrou2019PhylogeographySecondPlague	1CPIgshmC
duchene2016GenomescaleRatesEvolutionary	duchene2016GenomescaleRatesEvolutionary	duchene2016GenomescaleRatesEvolutionary	1cTipQcd
